species,trait,model,correlation_mean,correlation_SD,RMSE_mean,RMSE_SD
maize,Yield_Mg_ha,BayesB,0.6087422,0.0256158518979622,0.542734384,0.0168280736547017
maize,Yield_Mg_ha,BayesC,0.608532088,0.0255426794161315,0.54284702,0.0167831597506499
maize,Yield_Mg_ha,GBLUP,0.608491996948416,0.0253912327366896,0.542890555737294,0.0167568701458913
maize,Yield_Mg_ha,LightGBM,0.676755025453679,0.0226707005613835,0.50381780196812,0.0166841848402254
maize,Yield_Mg_ha,RF,0.610827345775711,0.0231531683997497,0.548840748360395,0.0165380248788942
maize,Yield_Mg_ha,RKHS,0.69305318445301,0.0212290935488658,0.493138318316372,0.0154740363393874
maize,Yield_Mg_ha,XGBoost,0.678653281533627,0.0227222227135481,0.502982161597502,0.0170119094555691
oyster,daydead,BL,0.295581846849123,0.122262722136611,6.64212216160688,0.748834601525265
oyster,daydead,BRR,0.304870144991238,0.131667029766529,6.5730701712422,0.745956984868857
oyster,daydead,BayesA,0.30722366169123,0.124047115806266,6.60067340679113,0.75502779775346
oyster,daydead,BayesB,0.324947343694763,0.125135294096638,6.54239431733207,0.76528155339661
oyster,daydead,BayesC,0.307658606725182,0.135425100263447,6.57121337267969,0.748918260452424
oyster,daydead,GBLUP,0.305787391024913,0.131100291266719,6.57550995856982,0.754756742633719
oyster,daydead,LightGBM,0.429082260177206,0.127879260904058,6.22108342859823,0.726555633604528
oyster,daydead,RF,0.428722274374425,0.137772169417497,6.18959987410037,0.713586216931677
oyster,daydead,RKHS,0.310029877360482,0.136264484743642,6.56053940033825,0.743913939680027
oyster,daydead,XGBoost,0.399472158507241,0.133815284301551,6.30786660860404,0.675398476536853
oyster,mm,BL,0.461897941731632,0.0911920128707844,9.85118361832579,0.726791422278085
oyster,mm,BRR,0.458069477427928,0.0959474788995912,9.87219819399391,0.758280723527586
oyster,mm,BayesA,0.461917781412962,0.092770907863653,9.84687165456843,0.743007217156027
oyster,mm,BayesB,0.462311845917445,0.0914468314606438,9.83990679542628,0.729467109184733
oyster,mm,BayesC,0.460727355020632,0.093284276085906,9.86043155012369,0.736760902073088
oyster,mm,GBLUP,0.461074061964311,0.0946794599853574,9.84636913974806,0.742364462420934
oyster,mm,LightGBM,0.453237427992122,0.103970619381575,9.87510805294735,0.781762309430639
oyster,mm,RF,0.451387406286646,0.112693108403848,9.90431958621413,0.791220803477812
oyster,mm,RKHS,0.459095928469301,0.097718837846957,9.85958961385244,0.762334862408629
oyster,mm,XGBoost,0.439821371582901,0.0997034399069486,9.96384217525484,0.766448159494148
pig,MS,BL,0.330807058865052,0.0501968071256841,0.525442336485382,0.026065607778627
pig,MS,BRR,0.329666621154893,0.0502764594770281,0.525638349879141,0.026028168453328
pig,MS,BayesA,0.328897775923498,0.0495877423721072,0.526085240418349,0.0262361889710456
pig,MS,BayesB,0.33111119375513,0.0509494665555603,0.525614969200638,0.025916179852141
pig,MS,BayesC,0.330233665134661,0.0511082753475155,0.525667838919647,0.0257860471751288
pig,MS,GBLUP,0.328704495772689,0.0504969559361613,0.526018244313583,0.0258580518967613
pig,MS,LightGBM,0.341595055651958,0.051079699307085,0.523327712383802,0.0248650284811601
pig,MS,RF,0.340093786209933,0.0532018926480593,0.52441482909907,0.0251275018850241
pig,MS,RKHS,0.334359716551314,0.0513091871615333,0.524829379182068,0.0258386833818605
pig,MS,XGBoost,0.318441338837732,0.0482045947127537,0.528262992675089,0.0251136327822235
pig,PFAI,BL,0.295719496149562,0.0502303929506804,1.44242261425817,0.0946866368882663
pig,PFAI,BRR,0.295961005233257,0.0481077783209913,1.44270254993211,0.0941446644862891
pig,PFAI,BayesA,0.292002838827575,0.0472107348477718,1.44604766003888,0.0933120406904955
pig,PFAI,BayesB,0.295373714471617,0.0484548484386279,1.44340165498581,0.0946367847553654
pig,PFAI,BayesC,0.293605471572415,0.0492561084747539,1.4440188600501,0.095185799095961
pig,PFAI,GBLUP,0.293893933307497,0.0489172385261472,1.44417240244494,0.0945433687619655
pig,PFAI,LightGBM,0.312881083328182,0.0458893487010641,1.43412889149255,0.0905938634768013
pig,PFAI,RF,0.310668337465823,0.0547013006398759,1.43692977719217,0.0893627735222663
pig,PFAI,RKHS,0.300520104406233,0.0493319474243174,1.44057837604667,0.0941834810990916
pig,PFAI,XGBoost,0.295822555999139,0.0511063301428815,1.44281563247342,0.0928995322080497
pine,BA,BL,0.814781103310501,0.0291295006118807,2.51193978013205,0.169973490536658
pine,BA,BRR,0.814933540538283,0.0289040560587683,2.51086416030915,0.170821457520646
pine,BA,BayesA,0.81428972809648,0.0287183224125101,2.51540231643968,0.167678726683351
pine,BA,BayesB,0.812893466075677,0.029250138815067,2.52217482792537,0.1719749898907
pine,BA,BayesC,0.813694156333103,0.029241364612026,2.51771117761623,0.173124510428139
pine,BA,GBLUP,0.812619758021597,0.0287696701508667,2.52391841406837,0.169884469833723
pine,BA,LightGBM,0.806075480485518,0.0269947870229317,2.56957034243381,0.145015690808443
pine,BA,RF,0.803112842004608,0.0271266034722846,2.68837870647798,0.143647408725438
pine,BA,RKHS,0.814283153865282,0.028007560038237,2.51674910490909,0.162238516561266
pine,BA,XGBoost,0.806716487072991,0.0270069487465579,2.55979878939587,0.149387612978353
pine,BD,BL,0.822451798282582,0.0193246627511746,0.0492056481342912,0.00263400392314708
pine,BD,BRR,0.822014488673772,0.0182190574323767,0.0492672974091547,0.00295482464170857
pine,BD,BayesA,0.824268905790237,0.0200871440803434,0.0489621273498873,0.00319010477860714
pine,BD,BayesB,0.823917154043063,0.0198358973987321,0.0490005167626218,0.00309002574496138
pine,BD,BayesC,0.822138180792215,0.0185242986478849,0.0492209699810923,0.00282245203367862
pine,BD,GBLUP,0.820044428076867,0.0192278913579963,0.0494762244981019,0.0030576790325817
pine,BD,LightGBM,0.833567140841803,0.019885687148055,0.0481573801603361,0.00324522661152553
pine,BD,RF,0.825046227969157,0.0219736040947597,0.0513966401684151,0.00336433685563199
pine,BD,RKHS,0.826770218448921,0.0189540016474326,0.0486784495774564,0.00316644321346872
pine,BD,XGBoost,0.825777931128531,0.0239908556766464,0.048944094438501,0.00361975020519244
pine,BLC,BL,0.794800282662344,0.0273689336338746,0.185409100366931,0.0100393247661691
pine,BLC,BRR,0.793400540292842,0.0270586433613441,0.185931820509006,0.00961391632808343
pine,BLC,BayesA,0.793677941116981,0.0265249144784104,0.185802338443398,0.00967061027149439
pine,BLC,BayesB,0.793009144327361,0.0259380631014333,0.185964547914712,0.00968951903019344
pine,BLC,BayesC,0.793220856483483,0.025980191920581,0.185945836286426,0.00951509374604116
pine,BLC,GBLUP,0.79218327903019,0.0277229755706127,0.18623960535931,0.0100826665773388
pine,BLC,LightGBM,0.78935268663139,0.0312595860486777,0.188155193662775,0.00993683585719029
pine,BLC,RF,0.781353913028954,0.032371053635217,0.197228846344365,0.00979245694724353
pine,BLC,RKHS,0.793759689084544,0.0280010086899191,0.185690218766291,0.0100054329698659
